RegionID,Full,lat,long,pop,density
394419,"Brookings, SD",44.3022,-96.7859,24479,702
394421,"Brownsville, TX",25.9975,-97.458,229387,534
394422,"Brownwood, TX",31.7127,-98.9767,18554,478
394423,"Brunswick, GA",31.1449,-81.4746,16231,368
394424,"Bucyrus, OH",40.8054,-82.9719,11808,617
394425,"Buffalo, NY",42.9018,-78.8487,926607,2446
394426,"Burley, ID",42.5379,-113.7926,10476,632
394427,"Burlington, IA",40.8071,-91.1247,24858,665
394428,"Burlington, NC",36.076,-79.4685,137096,699
394429,"Burlington, VT",44.4876,-73.2316,115682,1596
394430,"Butte, MT",45.902,-112.6571,34263,18
394431,"Cadillac, MI",44.2493,-85.4164,10462,570
394432,"Calhoun, GA",34.491,-84.9386,17088,411
394433,"Cambridge, MD",38.5515,-76.0787,12300,446
394434,"Cambridge, OH",40.0221,-81.5869,10398,630
394435,"Camden, AR",33.5672,-92.8467,10877,254
394436,"Campbellsville, KY",37.3445,-85.3511,11370,583
394437,"Cañon City, CO",38.443,-105.2203,16369,510
394438,"Canton, IL",40.5632,-90.0409,13600,668
394439,"Dayton, OH",39.7805,-84.2003,723844,971
394440,"Fort Myers, FL",26.6194,-81.8302,83505,809
394441,"Cape Girardeau, MO",37.3109,-89.5597,40100,532
394442,"Carbondale, IL",37.7221,-89.2237,66482,563
394443,"Carlsbad, NM",32.401,-104.2388,29278,358
394444,"Carson City, NV",39.1511,-119.7476,55244,147
394445,"Casper, WY",42.842,-106.3208,63962,847
394446,"Cedar City, UT",37.6834,-113.0956,33404,359
394447,"Cedar Rapids, IA",41.9662,-91.6783,188618,712
394448,"Cedartown, GA",34.0223,-85.2479,10062,425
394449,"Celina, OH",40.555,-84.5626,10498,806
394452,"Centralia, WA",46.7223,-122.9696,17473,885
394453,"Chambersburg, PA",39.9315,-77.6556,21017,1171
394454,"Champaign, IL",40.1142,-88.2737,152940,1486
394455,"Charleston, WV",38.3484,-81.6322,141640,579
394456,"Charleston, IL",39.4842,-88.1781,20141,875
394457,"Charleston, SC",32.8168,-79.9687,645413,461
394458,"Charlotte, NC",35.2083,-80.8303,1526465,1094
394459,"Charlottesville, VA",38.0375,-78.4855,102164,1779
394460,"Chattanooga, TN",35.066,-85.2481,404766,491
394462,"Cheyenne, WY",41.135,-104.7902,76456,767
394463,"Chicago, IL",41.8375,-87.6866,8586888,4576
394464,"Chico, CA",39.7578,-121.8161,113201,1116
394465,"Chillicothe, OH",39.3393,-82.9939,21668,796
394466,"Cincinnati, OH",39.1413,-84.506,1684800,1501
394468,"Claremont, NH",43.379,-72.3368,12969,116
394469,"Clarksburg, WV",39.2862,-80.3232,15743,625
394470,"Clarksdale, MS",34.1933,-90.5693,15342,315
394471,"Clarksville, TN",36.5692,-87.3413,183798,606
394472,"Clearlake, CA",38.9589,-122.633,15329,584
394473,"Cleveland, MS",33.744,-90.7285,11363,578
394474,"Cleveland, TN",35.1817,-84.8707,72589,642
394475,"Cleveland, OH",41.4764,-81.6805,1742437,1903
394476,"Clewiston, FL",26.7529,-80.9399,7910,678
394477,"Clinton, IA",41.8435,-90.2412,25290,274
394478,"Clovis, NM",34.4376,-103.1923,38701,632
394480,"Coeur d'Alene, ID",47.704,-116.7936,114880,1234
394481,"Coffeyville, KS",37.0519,-95.618,9343,380
394482,"Coldwater, MI",41.9465,-84.9989,12203,488
394483,"College Station, TX",30.5852,-96.2959,203848,873
394484,"Colorado Springs, CO",38.8674,-104.7605,621332,932
394485,"Columbia, MO",38.9472,-92.3268,132806,711
394486,"Columbia, SC",34.0378,-80.9036,609689,378
394488,"Columbus, GA",32.51,-84.8771,249510,348
394489,"Columbus, IN",39.2093,-85.9183,48820,670
394490,"Columbus, MS",33.5088,-88.4096,23853,367
394491,"Columbus, NE",41.4366,-97.3565,23291,870
394492,"Columbus, OH",39.9862,-82.9855,1547862,1560
394493,"Concord, NH",43.2305,-71.5595,43503,262
394494,"Connersville, IN",39.6582,-85.141,13096,658
394495,"Cookeville, TN",36.1482,-85.5109,33922,366
394496,"Coos Bay, OR",43.3789,-124.233,16326,593
394498,"Cordele, GA",31.9563,-83.7694,10600,403
394499,"Corinth, MS",34.9474,-88.5143,14544,186
394500,"Cornelia, GA",34.517,-83.5311,4510,419
394501,"Corning, NY",42.147,-77.0561,10642,1332
394502,"Corpus Christi, TX",27.7254,-97.3767,343031,776
394503,"Corsicana, TX",32.0824,-96.4665,23736,398
394504,"Cortland, NY",42.6004,-76.1784,18633,1847
394505,"Corvallis, OR",44.5698,-123.2779,66090,1586
394506,"Coshocton, OH",40.2618,-81.848,10993,530
394507,"Crawfordsville, IN",40.0428,-86.8976,16088,641
394508,"Crescent City, CA",41.7728,-124.1902,6690,1315
394509,"Cookeville, TN",36.1482,-85.5109,33922,366
394511,"Cullman, AL",34.1775,-86.8407,16072,286
394513,"Cumberland, MD",39.6515,-78.7584,19495,748
394515,"Dalton, GA",34.769,-84.972,87944,612
394516,"Danville, IL",40.1426,-87.6111,30969,669
394517,"Danville, KY",37.6418,-84.7777,16801,377
394518,"Danville, VA",36.5831,-79.4088,40668,366
394519,"Daphne, AL",30.6263,-87.8816,26578,540
394521,"Dayton, OH",39.7805,-84.2003,723844,971
394522,"DeRidder, LA",30.8468,-93.2931,10955,455
394523,"Decatur, AL",34.5731,-86.9905,69710,386
394524,"Decatur, IL",39.8557,-88.9342,86604,646
394525,"Decatur, IN",40.8286,-84.9277,9700,614
394526,"Defiance, OH",41.2813,-84.3657,16741,510
394527,"Del Rio, TX",29.3708,-100.8801,35828,676
394528,"Daytona Beach, FL",29.1995,-81.0982,68711,404
394529,"Deming, NM",32.2631,-107.7525,14083,325
394530,"Denver, CO",39.762,-104.8758,2709398,1805
394531,"Des Moines, IA",41.5725,-93.6105,519180,943
394532,"Detroit, MI",42.3834,-83.1024,3731486,1871
394533,"Dickinson, ND",46.8918,-102.7925,22880,624
394535,"Dixon, IL",41.8439,-89.4794,15544,774
394536,"Dodge City, KS",37.7611,-100.0182,27186,713
394537,"Dothan, AL",31.2336,-85.407,69586,294
394538,"Douglas, GA",31.5065,-82.8544,11556,309
394539,"Dover, DE",39.161,-75.5202,125931,617
394540,"Dublin, GA",32.536,-82.928,15762,382
394541,"DuBois, PA",41.1223,-78.7565,7413,889
394542,"Dubuque, IA",42.5002,-90.707,67916,725
394543,"Duluth, MN",46.7756,-92.1393,117934,462
394544,"Dumas, TX",35.8613,-101.9642,14042,981
394545,"Duncan, OK",34.5408,-97.9215,22529,202
394546,"Dunn, NC",35.3114,-78.6129,9738,547
394547,"Durango, CO",37.2659,-107.8781,19413,509
394548,"Durant, OK",33.9949,-96.3923,18516,257
394549,"Durham, NC",35.9792,-78.9022,391371,945
394550,"Dyersburg, TN",36.0465,-89.3777,16371,364
394551,"Eagle Pass, TX",28.7125,-100.484,29307,1201
394553,"East Stroudsburg, PA",41.0023,-75.1779,10232,1389
394554,"Easton, MD",38.776,-76.0701,16589,558
394555,"Eau Claire, WI",44.8197,-91.4948,103197,807
394556,"Edwards, CO",39.6215,-106.6184,9347,135
394557,"Effingham, IL",39.1205,-88.5509,12310,461
394558,"El Campo, TX",29.2,-96.2723,11695,489
394559,"El Centro, CA",32.7865,-115.5595,110434,1430
394560,"El Dorado, AR",33.2184,-92.664,17826,424
394561,"El Paso, TX",31.8476,-106.43,798217,1015
394562,"Elizabeth City, NC",36.2942,-76.236,17725,584
394563,"Elizabethtown, KY",37.7031,-85.8773,78446,428
394564,"Elk City, OK",35.3862,-99.4301,11544,279
394565,"Elkhart, IN",41.6916,-85.9627,147679,739
394566,"Elko, NV",40.8381,-115.7678,20396,441
394567,"Ellensburg, WA",46.9999,-120.5475,20679,1036
394568,"Elmira, NY",42.0938,-76.8097,63404,1450
394569,"Emporia, KS",38.4028,-96.1932,24631,783
394570,"Enid, OK",36.4063,-97.87,50116,261
394571,"Enterprise, AL",31.3275,-85.8463,28170,351
394572,"Erie, PA",42.1167,-80.0733,189513,1948
394573,"Escanaba, MI",45.7477,-87.09,12180,368
394574,"Española, NM",36.0044,-106.0686,10071,472
394576,"Eugene, OR",44.0564,-123.1174,270013,1489
394577,"Eureka, CA",40.7943,-124.1564,26938,1090
394578,"Evanston, WY",41.2602,-110.9646,11727,440
394579,"Evansville, IN",37.9881,-87.5341,227338,965
394580,"Fairbanks, AK",64.8353,-147.6533,64160,382
394582,"Fairmont, WV",39.4768,-80.1491,18443,827
394584,"Fallon, NV",39.4737,-118.7779,8540,887
